X,Y,OBJECTID,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3
133.0,-25.0,1,Australia,2020/05/21 01:32:45+00,-25,133,7081,100,6470,511,27.8125822378111,,,1.41222991102952,36,AUS
14.5501,47.5162,2,Austria,2020/05/21 01:32:45+00,47.5162,14.5501,16353,633,14882,838,181.570882927696,,,3.87084938543387,40,AUT
114.3055,30.5928,4,China,2020/05/21 01:32:45+00,30.5928,114.3055,84063,4638,79310,115,5.98451032488032,,,5.51729060347596,156,CHN
9.5018,56.2639,5,Denmark,2020/05/21 01:32:45+00,56.2639,9.5018,11315,554,9734,1027,195.348816331196,,,4.89615554573575,208,DNK
25.7482,61.9241,6,Finland,2020/05/21 01:32:45+00,61.9241,25.7482,6443,304,4800,1339,116.284568173295,,,4.71829892907031,246,FIN
2.2137,46.2276,7,France,2020/05/21 01:32:45+00,46.2276,2.2137,181700,28135,63472,90093,278.367126928914,,,15.484314804623,250,FRA
10.451526,51.165691,8,Germany,2020/05/21 01:32:45+00,51.165691,10.451526,178473,8144,156966,13363,213.015751406788,,,4.56315521115239,276,DEU
-7.6921,53.1424,10,Ireland,2020/05/21 01:32:45+00,53.1424,-7.6921,24315,1571,21060,1684,492.426175564969,,,6.46103228459798,372,IRL
12.5674,41.8719,11,Italy,2020/05/21 01:32:45+00,41.8719,12.5674,227364,32330,132282,62752,376.045527435922,,,14.2194894530357,380,ITA
5.55,52.3167,12,Netherlands,2020/05/21 01:32:45+00,52.3167,5.55,44647,5767,169,38711,260.562188001043,,,12.9168813134141,528,NLD
8.4689,60.472,13,Norway,2020/05/21 01:32:45+00,60.472,8.4689,8281,234,32,8015,152.750974776629,,,2.82574568288854,578,NOR
105.3188,61.524,14,Russia,2020/05/21 01:32:45+00,61.524,105.3188,308705,2972,85392,220341,211.536740534073,,,0.962731410246028,643,RUS
18.6435,60.1282,15,Sweden,2020/05/21 01:32:45+00,60.1282,18.6435,31523,3831,4971,22721,312.13147088849,,,12.1530311201345,752,SWE
8.2275,46.8182,16,Switzerland,2020/05/21 01:32:45+00,46.8182,8.2275,30658,1892,27800,966,354.238627285456,,,6.17130928305826,756,CHE
-3.0,55.0,17,United Kingdom,2020/05/21 01:32:45+00,55,-3,249619,35786,1116,212717,367.703186653909,,,14.3362484426266,826,GBR
-3.74922,40.463667,19,Spain,2020/05/21 01:32:45+00,40.463667,-3.74922,232555,27888,150376,54291,497.392961913651,,,11.9920018920255,724,ESP
-51.9253,-14.235,22,Brazil,2020/05/21 01:32:45+00,-14.235,-51.9253,291579,18859,116683,156037,137.175296719046,,,6.46788691915399,76,BRA
67.709953,33.93911,23,Afghanistan,2020/05/21 01:32:45+00,33.93911,67.709953,8145,187,930,7028,20.9230596289731,,,2.29588704726826,4,AFG
20.1683,41.1533,24,Albania,2020/05/21 01:32:45+00,41.1533,20.1683,964,31,758,175,33.4978108277156,,,3.21576763485477,8,ALB
1.6596,28.0339,25,Algeria,2020/05/21 01:32:45+00,28.0339,1.6596,7542,568,3968,3006,17.1991348073522,,,7.53115884380801,12,DZA
1.5218,42.5063,26,Andorra,2020/05/21 01:32:45+00,42.5063,1.5218,762,51,639,72,986.216268685692,,,6.69291338582677,20,AND
17.8739,-11.2027,27,Angola,2020/05/21 01:32:45+00,-11.2027,17.8739,52,3,17,32,0.158216929284457,,,5.76923076923077,24,AGO
-61.7964,17.0608,28,Antigua and Barbuda,2020/05/21 01:32:45+00,17.0608,-61.7964,25,3,19,3,25.5289600522833,,,12,28,ATG
45.0382,40.0691,30,Armenia,2020/05/21 01:32:45+00,40.0691,45.0382,5271,67,2419,2785,177.879978428973,,,1.27110605198255,51,ARM
47.5769,40.1431,31,Azerbaijan,2020/05/21 01:32:45+00,40.1431,47.5769,3631,43,2253,1335,35.8115921660293,,,1.18424676397687,31,AZE
50.55,26.0275,33,Bahrain,2020/05/21 01:32:45+00,26.0275,50.55,7888,12,3568,4308,463.568336072939,,,0.152129817444219,48,BHR
90.3563,23.685,34,Bangladesh,2020/05/21 01:32:45+00,23.685,90.3563,26738,386,5207,21145,16.2354120908936,,,1.44363826763408,50,BGD
-59.5432,13.1939,35,Barbados,2020/05/21 01:32:45+00,13.1939,-59.5432,90,7,70,13,31.3184002561149,,,7.77777777777778,52,BRB
